Station1,Station2,Line,Time,Fare,Lat1,Lon1,Lat2,Lon2
Noapara,Dum Dum Cantt,Yellow,4,5,22.6441,88.3968,22.6425,88.4168
Dum Dum Cantt,Jessore Road,Yellow,3,5,22.6425,88.4168,22.6479,88.4251
Jessore Road,Jai Hind (Airport),Yellow,3,5,22.6479,88.4251,22.6418,88.4320
Jai Hind (Airport),Birati,Yellow,4,5,22.6418,88.4320,22.6578,88.4398
Birati,Michael Nagar,Yellow,3,5,22.6578,88.4398,22.6685,88.4521
Michael Nagar,New Barrackpore,Yellow,3,5,22.6685,88.4521,22.6798,88.4632
New Barrackpore,Madhyamgram,Yellow,4,5,22.6798,88.4632,22.6952,88.4789
Madhyamgram,Hridaypur,Yellow,3,5,22.6952,88.4789,22.7095,88.4892
Hridaypur,Barasat,Yellow,4,5,22.7095,88.4892,22.7231,88.4950
